,PERSON_ID
0,1630173
1,203500
2,1628389
3,1630583
4,200746
5,1629638
6,1628960
7,1628386
8,1630631
10,203937
11,203507
12,203648
13,2546
14,1630175
15,1628384
16,1627853
18,201571
19,1630166
21,1629028
22,1628962
23,1628963
24,1630163
25,1628366
26,1628964
27,1630217
28,1630625
30,203084
31,1630567
32,1629628
33,203115
35,1629646
36,1628966
37,201587
38,203145
39,1629647
40,203078
41,1627736
44,202722
45,201976
46,1630180
47,203920
48,1629048
49,202687
50,202357
51,202339
52,1629833
53,203992
54,202711
55,1629626
56,1630195
57,1629067
58,1626164
59,1630527
60,1628449
61,1630547
62,202340
63,1628396
64,1629649
65,1628969
66,1628970
67,1629052
68,1627763
69,1629717
70,1628415
71,1628971
72,1627759
73,1629650
74,1628425
75,1630535
76,1629718
77,1630602
78,1628972
79,1628973
80,1628418
82,203493
83,203504
84,202692
85,1630215
86,202710
87,1629719
88,203484
89,1630267
90,1628427
91,1629962
92,203991
93,1630176
94,1628975
95,1628976
96,1627936
99,1630551
101,1629185
102,1627737
103,1630528
104,1629109
105,1629634
106,203903
107,1629651
108,1629599
109,1628381
110,1628380
112,201144
113,1626192
114,1629076
115,1630536
117,202326
118,203496
119,1628470
120,203109
121,1629633
123,1630595
124,203552
125,201939
126,203076
127,202334
128,1629056
130,201942
132,203473
134,1628978
137,1628977
138,203476
139,203915
140,1629029
141,1629652
142,1630245
148,201609
149,203083
150,1630537
151,1630561
153,201142
155,1630162
156,1629035
157,1630556
159,1629604
160,201961
161,203954
165,202324
166,1628981
167,1627827
168,1630238
169,1630201
170,1627854
172,1630235
173,203095
174,1628368
176,1628982
178,1628365
179,1629117
180,1629655
181,201568
183,1629636
185,1630586
186,1630568
187,200752
188,202331
189,201959
190,1630581
191,1628983
192,1630264
194,203497
195,1629164
197,203932
198,201569
199,1628984
200,203924
202,201980
203,203110
204,203210
205,1630224
206,1629750
207,201145
208,1630182
209,201933
210,1629656
212,1629060
213,1630169
215,1630181
216,203501
217,201935
218,203090
219,1629607
220,1626149
221,203914
222,203925
223,202699
225,1628404
226,1628392
227,2617
228,1630573
229,1629637
230,1630165
231,202330
233,1627823
234,1626195
235,1629639
236,1627741
237,1629312
238,201588
239,1630792
241,1630207
243,1628988
244,201950
245,203200
246,1626158
247,203918
249,201143
250,1629659
251,1627863
252,2730
253,1630210
254,1628989
256,1630190
257,1630624
258,1629631
260,1630538
261,201586
262,2738
263,204060
264,1627742
265,202681
266,1628371
268,1628402
269,1630543
270,1628367
272,202704
273,1628991
274,2544
277,1629660
278,1630198
281,1629661
282,1630525
283,1630552
