,GAME_DATE
1629004,
1626204,
1630612,
1630174,
203526,
1627777,
1630227,
1630192,
203457,
1629669,
1628373,
1629134,
203994,
1628021,
1629670,
1626220,
1629643,
1629006,
1630168,
1630171,
203506,
203482,
1626224,
1626162,
1629672,
101108,
1626166,
203901,
1627780,
1630691,
1629033,
203486,
1627751,
1630197,
1630582,
1629673,
1629645,
1629008,
203490,
1626171,
204001,
203939,
1629619,
1626181,
1630563,
1627752,
1630202,
1630243,
1629674,
1630193,
203944,
1630559,
1629629,
1628432,
1630194,
1629675,
1630208,
1626196,
203085,
1629130,
1629011,
1630526,
1629676,
200765,
201565,
203082,
1626179,
201937,
1626156,
1630346,
1627734,
203967,
203107,
1630648,
1629678,
203471,
1630206,
1630578,
1629012,
1629013,
1630549,
1627783,
1627732,
1630250,
1629014,
1630579,
1630606,
203935,
202397,
1630188,
1630270,
203503,
1630531,
203917,
202362,
1630205,
1630191,
1629622,
1630591,
1630256,
1628369,
1630678,
202066,
1630179,
1628464,
1630271,
1630560,
202738,
1629744,
202691,
202684,
1630550,
1629680,
1629681,
1630214,
1630225,
1630167,
1629308,
1626157,
1629018,
200782,
1629730,
1626167,
202685,
1627832,
1629020,
1630170,
1629216,
202696,
1629731,
1630532,
1629021,
1630688,
202689,
1629022,
202322,
203933,
1629023,
1630613,
1629139,
1630322,
1630570,
1629683,
201566,
1629632,
1628401,
202355,
1630580,
1630598,
203952,
1629623,
1630314,
1629684,
1629026,
101150,
1630172,
1630533,
1629057,
1629627,
1629685,
1626159,
1630216,
1630164,
1626174,
1630218,
1626153,
1630589,
1630593,
1628221,
201152,
1629027,
1630209,
1627826,
